yield	area	duration	rainfall
56.10	0.67000	0	311.2
1314.17	8.62000	68	311.2
67.15	0.84000	1	290.1
173.73	3.57000	32	230.6
37.81	0.73000	0	261.5
227.31	2.75000	0	311.2
100.78	1.31000	0	194.5
96.21	1.06000	0	314.0
23.98	0.29000	0	261.5
66.38	0.91000	0	477.5
156.73	1.58000	0	230.6
119.86	1.43000	0	290.1
339.96	2.42000	1	261.5
109.36	0.29000	1	477.5
43.43	0.48000	0	314.0
359.40	1.98000	1	221.6
53.11	0.95000	0	261.5
187.15	4.23000	142	221.6
303.49	3.07000	122	261.5
207.31	2.55000	0	311.2
255.22	2.55000	0	311.2
67.85	0.42000	0	221.6
116.68	2.60000	3	261.5
375.59	3.74000	6	290.1
746.53	6.79000	2	221.6
94.52	0.94000	0	221.6
61.99	2.06000	0	221.6
339.15	3.44000	0	477.5
894.35	7.79000	15	230.6
150.91	0.93000	0	230.6
22.15	0.23000	0	311.2
427.53	5.37000	146	314.0
158.41	1.62000	115	194.5
171.87	2.30000	59	290.1
97.05	1.24000	0	314.0
386.03	4.31000	50	311.2
19.87	0.24000	0	290.1
226.06	0.79000	1	290.1
64.43	0.91000	0	314.0
135.79	1.79000	0	230.6
38.79	0.37000	0	230.6
48.56	0.86000	0	314.0
396.86	3.70000	1	261.5
192.73	2.36000	1	230.6
363.20	0.36000	1	221.6
279.55	1.54000	99	311.2
226.15	1.96000	7	311.2
73.42	0.75000	0	290.1
162.96	2.82000	3	194.5
521.10	6.66000	6	261.5
28.63	0.40000	0	261.5
518.58	3.67000	2	477.5
52.59	0.95000	0	290.1
9.92	0.17000	0	261.5
222.57	2.03000	24	261.5
216.68	2.82000	1	314.0
53.04	0.51000	0	290.1
11.64	0.40000	11	230.6
82.48	2.09000	0	221.6
295.70	3.88000	6	314.0
599.76	6.11000	3	311.2
131.87	1.38000	1	290.1
145.36	1.57000	0	194.5
486.88	5.98000	6	477.5
33.63	0.57000	0	290.1
30.00	0.47000	0	290.1
80.54	1.09000	1	261.5
41.76	0.62000	0	314.0
60.00	0.62000	0	314.0
46.32	0.42000	40	221.6
